date,state,newCases,mortes,TOTAL,totalCasesPred,sucetivel,Recuperado
2020-02-25,TOTAL,1.0,0.0,1.0,1.0,217026004.0,0.0
2020-02-26,TOTAL,0.0,0.0,1.0,1.3561244756407747,217026003.56452426,0.07935125047665288
2020-02-27,TOTAL,0.0,0.0,1.0,1.844645545060013,217026002.9671515,0.18820295975211523
2020-02-28,TOTAL,0.0,0.0,1.0,2.3711690677103943,217026002.32330862,0.30552233263484796
2020-02-29,TOTAL,1.0,0.0,2.0,3.0754602900400503,217026001.46208802,0.4624517032231557
2020-03-01,TOTAL,0.0,0.0,2.0,3.968908988396801,217026000.3695621,0.6615289287348859
2020-03-02,TOTAL,0.0,0.0,2.0,5.149453259402463,217025998.9259703,0.9245764666486878
2020-03-03,TOTAL,0.0,0.0,2.0,6.652159290209514,217025997.088433,1.2594077256846827
2020-03-04,TOTAL,1.0,0.0,3.0,8.610641385607666,217025994.69356412,1.6957944987467921
2020-03-05,TOTAL,5.0,0.0,8.0,11.147908716471767,217025991.59094572,2.261145554427066
2020-03-06,TOTAL,5.0,0.0,13.0,14.3939770474968,217025987.62159204,2.984430867379474
2020-03-07,TOTAL,6.0,0.0,19.0,18.664181065937786,217025982.39990595,3.935912977833093
2020-03-08,TOTAL,6.0,0.0,25.0,24.06890449765795,217025975.790908,5.14018747637242
2020-03-09,TOTAL,5.0,0.0,30.0,31.225438556692325,217025967.03976285,6.734798574278376
2020-03-10,TOTAL,5.0,0.0,35.0,40.27765624785456,217025955.9705398,8.75180391446721
2020-03-11,TOTAL,34.0,0.0,69.0,52.212817368576054,217025941.37599877,11.411183848040652
2020-03-12,TOTAL,40.0,0.0,109.0,67.48583851223356,217025922.699859,14.814302486242147
2020-03-13,TOTAL,11.0,0.0,120.0,87.28184523472376,217025898.49292606,19.22522868921854
2020-03-14,TOTAL,27.0,0.0,147.0,113.05893766317487,217025866.97220698,24.968855323075804
2020-03-15,TOTAL,84.0,0.0,231.0,145.91051530475326,217025826.80067137,32.288813302831855
2020-03-16,TOTAL,70.0,0.0,301.0,189.24656930160137,217025773.80851495,41.944915726425414
2020-03-17,TOTAL,62.0,1.0,363.0,243.9380332506259,217025706.93074265,54.13122407779141
2020-03-18,TOTAL,172.0,4.0,535.0,315.5229932859823,217025619.39527074,70.08173596462674
2020-03-19,TOTAL,159.0,6.0,694.0,407.17456183217564,217025507.32195145,90.50348670478041
2020-03-20,TOTAL,318.0,11.0,1012.0,526.7689450471681,217025361.07959348,117.15146145485458
2020-03-21,TOTAL,193.0,18.0,1205.0,679.5220836247988,217025174.2900295,151.18788687076233
2020-03-22,TOTAL,415.0,25.0,1620.0,876.7611712825019,217024933.1021123,195.13671641416082
